code,theme,theme_category,is_original_risk,is_defensive,is_bak_only,data_start,data_end,n_valid_days,data_coverage_pct,amt_mean_yuan,amt_median_yuan,vol_annual_pct,max_dd_pct,max_gap_days,has_long_gap,single_year_dominant,ret_2020_pct,maxdd_2020_pct,ret_2021_pct,maxdd_2021_pct,ret_2022_pct,maxdd_2022_pct,ret_2023_pct,maxdd_2023_pct,ret_2024_pct,maxdd_2024_pct,ret_2025_pct,maxdd_2025_pct,ret_2026H1_pct,maxdd_2026H1_pct
518880.XSHG,黄金,商品/贵金属,True,False,False,2020-01-02,2026-06-12,1559,99.94,1961097.0,1266825.0,17.35,-28.55,6,False,False,14.24,-17.13,-6.64,-11.42,10.11,-11.38,16.58,-5.35,27.05,-7.49,55.61,-11.53,-8.8,-28.55
159985.XSHE,豆粕,商品/贵金属,True,False,False,2020-01-02,2026-06-12,1560,100.0,149510.0,59440.0,19.72,-26.6,6,False,False,28.64,-9.4,-4.39,-19.49,61.45,-12.49,8.34,-15.2,-14.43,-25.63,5.87,-7.32,3.12,-14.69
501018.XSHG,原油,能源,True,False,False,2020-01-02,2026-06-12,1557,99.81,103561.0,13256.0,34.52,-62.47,6,False,False,-50.68,-62.47,53.25,-14.7,36.67,-28.46,-5.07,-20.45,6.12,-15.77,-11.73,-24.01,83.7,-27.05
161226.XSHE,白银,商品/贵金属,True,False,False,2020-01-02,2026-06-12,1558,99.87,119897.0,36664.0,34.96,-65.03,6,False,False,8.03,-34.18,-25.39,-29.9,2.38,-25.58,3.13,-11.8,15.07,-18.96,151.79,-27.76,-19.9,-65.03
513100.XSHG,纳指,海外科技,True,False,False,2020-01-02,2026-06-12,1558,99.87,417312.0,326675.0,25.15,-28.57,6,False,False,35.03,-28.57,23.79,-8.79,-26.07,-25.4,50.5,-9.8,34.63,-17.92,15.89,-23.79,12.02,-13.04
159915.XSHE,创业板,A股成长,True,False,False,2020-01-02,2026-06-12,1559,99.94,2003303.0,1220687.0,30.9,-56.58,6,False,False,62.38,-19.74,8.13,-22.78,-27.74,-32.01,-19.53,-30.82,16.39,-25.5,57.8,-20.72,17.22,-7.67
511220.XSHG,城投债,债券/固收,True,False,False,2020-01-02,2026-06-12,1559,99.94,292176.0,158886.0,2.08,-4.28,6,False,False,2.68,-2.84,5.57,-0.56,2.18,-2.33,5.74,-2.36,4.19,-2.05,1.53,-1.13,1.59,-0.47
159980.XSHE,有色金属,商品/贵金属,False,False,True,2020-01-02,2026-06-12,1560,100.0,134248.0,57683.0,18.9,-32.86,6,False,False,14.47,-22.5,28.18,-12.6,8.41,-32.86,-2.9,-13.1,5.89,-15.8,22.45,-10.62,2.92,-15.56
159981.XSHE,能源化工,能源,False,False,True,2020-01-17,2026-06-12,1549,99.29,146994.0,23882.0,25.12,-48.36,6,False,False,0.71,-25.6,42.97,-39.15,4.2,-25.98,7.96,-14.42,-11.11,-20.62,-13.43,-21.2,32.46,-11.76
159509.XSHE,纳指科技,海外科技,False,False,True,2023-08-08,2026-06-12,688,44.1,940219.0,908709.0,31.4,-30.47,6,False,False,,,,,,,9.63,-9.25,49.07,-24.65,40.32,-25.95,12.32,-17.69
