theme_category,n_etfs,etfs,n_days,vol_annual_pct,max_dd_pct,amt_mean_yuan,single_year_dominant,dominant_year,is_bak_only_dominant,ret_2020_pct,ret_2021_pct,ret_2022_pct,ret_2023_pct,ret_2024_pct,ret_2025_pct,ret_2026H1_pct
商品/贵金属,4,"518880.XSHG,159985.XSHE,161226.XSHE,159980.XSHE",1560,15.88,-29.3,591188.0,False,,False,18.33,-2.84,19.73,6.84,8.18,52.63,-3.32
能源,2,"501018.XSHG,159981.XSHE",1560,26.31,-46.92,125278.0,False,,True,-30.44,50.06,20.69,1.94,-2.48,-12.07,66.09
海外科技,4,"513100.XSHG,159509.XSHE,513290.XSHG,513310.XSHG",1558,24.91,-28.57,717996.0,False,,True,35.03,23.79,-18.21,29.4,25.97,42.27,25.53
A股成长,3,"159915.XSHE,588080.XSHG,159967.XSHE",1560,30.1,-58.21,976225.0,False,,True,70.44,8.29,-27.83,-19.57,15.12,49.12,24.79
债券/固收,3,"511220.XSHG,511380.XSHG,511010.XSHG",1559,3.41,-4.27,1081742.0,False,,True,3.59,7.84,-0.97,2.82,5.46,6.8,1.24
海外宽基,3,"513500.XSHG,159529.XSHE,513400.XSHG",1558,19.71,-29.67,277754.0,False,,True,7.66,26.27,-14.01,28.24,37.39,7.02,-1.54
欧日东南亚,4,"513520.XSHG,513030.XSHG,513080.XSHG,513730.XSHG",1559,19.82,-32.3,125988.0,False,,True,8.39,3.97,-10.81,27.2,11.01,17.89,-2.13
中概/港股,5,"159792.XSHE,513130.XSHG,513050.XSHG,159920.XSHE,513690.XSHG",1560,25.93,-59.52,1198888.0,False,,True,14.82,-26.21,-13.02,-11.69,25.59,24.82,-18.19
A股宽基,7,"510300.XSHG,510500.XSHG,510050.XSHG,510210.XSHG,512100.XSHG,563360.XSHG,563300.XSHG",1560,19.1,-34.97,1899691.0,False,,True,24.38,5.38,-17.76,-5.62,10.5,29.34,3.35
红利/价值,2,"512890.XSHG,512040.XSHG",1559,16.66,-15.55,105303.0,False,,True,16.31,24.73,-5.36,10.58,19.5,13.32,1.55
